Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,1uF,
"C10, C11, C12, C18, C5, C6, C7, C8, C9",0805,9,100nF,
"C13, C14",0805,2,18pF,
"C15, C16, C17",0805,3,10uF,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,9,1N4148,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"R1, R6",0805,2,1k,
"R2, R3",0805,2,5.1k,
"R4, R5",0805,2,27,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
"SW10, SW11, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,9,SW_Push,
SW12,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,BOOTSEL,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,12MHz,
