Designator,Mid X,Mid Y,Rotation,Layer
C1,93.0,-25.68,90.0,top
C10,87.21,-29.87,180.0,top
C11,87.19,-27.73,180.0,top
C12,86.8,-41.57,0.0,top
C13,103.4,-35.72,90.0,top
C14,94.65,-32.0225,90.0,bottom
C15,125.16,-33.37,0.0,top
C16,115.84,-38.78,0.0,top
C17,115.86,-36.65,0.0,top
C18,104.88,-25.19,0.0,bottom
C2,99.32,-27.11,90.0,bottom
C3,96.18,-38.6375,270.0,bottom
C4,97.29,-25.68,90.0,top
C5,100.0,-31.0,0.0,top
C6,100.0,-33.14,0.0,top
C7,92.89,-37.93,180.0,top
C8,95.09,-25.68,90.0,top
C9,87.41,-33.51,180.0,top
D1,67.0,-54.19,90.0,top
D2,67.0,-71.81,270.0,top
D3,67.0,-89.81,270.0,top
D4,86.0,-53.81,270.0,top
D5,86.0,-71.81,270.0,top
D6,86.0,-89.81,270.0,top
D7,104.0,-52.81,270.0,top
D8,105.0,-69.81,270.0,top
D9,105.0,-87.81,270.0,top
J1,122.0,-26.39,180.0,top
R1,92.58,-32.08,90.0,bottom
R2,125.9,-40.47,270.0,bottom
R3,123.58,-40.47,270.0,bottom
R4,122.09,-36.08,270.0,top
R5,119.72,-36.11,90.0,top
R6,109.35,-31.43,90.0,top
SW1,86.58,-38.84,0.0,top
SW10,113.4,-68.785,0.0,top
SW11,113.4,-87.685,0.0,top
SW12,74.75,-33.5,0.0,top
SW2,105.59,-31.6,0.0,top
SW3,75.6,-49.885,0.0,top
SW4,75.6,-68.785,0.0,top
SW5,75.6,-87.685,0.0,top
SW6,94.5,-49.885,0.0,top
SW7,94.5,-68.785,0.0,top
SW8,94.5,-87.685,0.0,top
SW9,113.4,-49.885,0.0,top
U1,93.6,-32.4375,90.0,top
U2,109.0,-37.0,180.0,top
U3,105.0,-27.0,270.0,top
Y1,100.49,-39.76,180.0,top
